Year,Country,Sector,Population_in_millions,GDP_USD_in_billions,CO2_Emission
2020,China,Energy,"1,412","14,723","10,000"
2020,China,Transport,"1,412","14,723","2,000"
2020,China,Industry,"1,412","14,723","1,000"
2021,China,Energy,"1,412","17,734","10,500"
2021,China,Transport,"1,412","17,734","2,100"
2021,China,Industry,"1,412","17,734","1,050"
2022,China,Energy,"1,425","17,963","10,700"
2022,China,Transport,"1,425","17,963","2,300"
2022,China,Industry,"1,425","17,963","1,200"
2023,China,Energy,"1,425","17,700","11,000"
2023,China,Transport,"1,425","17,700","2,400"
2023,China,Industry,"1,425","17,700","1,300"
2024,China,Energy,"1,417","17,700","11,200"
2024,China,Transport,"1,417","17,700","2,500"
2024,China,Industry,"1,417","17,700","1,400"
2020,India,Energy,"1,380","2,660","1,800"
2020,India,Transport,"1,380","2,660",400
2020,India,Industry,"1,380","2,660",250
2021,India,Energy,"1,407","3,175","1,900"
2021,India,Transport,"1,407","3,175",420
2021,India,Industry,"1,407","3,175",270
2022,India,Energy,"1,425","3,385","2,000"
2022,India,Transport,"1,425","3,385",450
2022,India,Industry,"1,425","3,385",280
2023,India,Energy,"1,428","3,500","2,100"
2023,India,Transport,"1,428","3,500",470
,,,,,
2023,India,Transport,"1,428","3,500",470
2023,India,Industry,"1,428","3,500",290
2024,India,Energy,"1,441","3,700","2,200"
2024,India,Transport,"1,441","3,700",490
2024,India,Industry,"1,441","3,700",300
2020,United States,Energy,331,"20,893","3,200"
2020,United States,Transport,331,"20,893","1,100"
2020,United States,Industry,331,"20,893",700
2021,United States,Energy,332,"23,315","3,300"
2021,United States,Transport,332,"23,315","1,150"
2021,United States,Industry,332,"23,315",750
2022,United States,Energy,333,"25,463","3,400"
2022,United States,Transport,333,"25,463","1,200"
2022,United States,Industry,333,"25,463",800
2023,United States,Energy,335,"26,900","3,500"
2023,United States,Transport,335,"26,900","1,250"
2023,United States,Industry,335,"26,900",850
2024,United States,Energy,335,"25,500","3,400"
2024,United States,Transport,335,"25,500","1,200"
2024,United States,Industry,335,"25,500",800
2020,Indonesia,Energy,273,"1,059",450
2020,Indonesia,Transport,273,"1,059",90
2020,Indonesia,Industry,273,"1,059",60
2021,Indonesia,Energy,275,"1,186",470
2021,Indonesia,Transport,275,"1,186",95
2021,Indonesia,Industry,275,"1,186",65
2022,Indonesia,Energy,279,"1,319",490
2022,Indonesia,Transport,279,"1,319",100
2022,Indonesia,Industry,279,"1,319",70
2023,Indonesia,Energy,282,"1,400",500
2023,Indonesia,Transport,282,"1,400",105
2023,Indonesia,Industry,282,"1,400",75
2024,Indonesia,Energy,284,"1,350",510
2024,Indonesia,Transport,284,"1,350",110
2024,Indonesia,Industry,284,"1,350",80
2020,Brazil,Energy,213,"1,445",850
2020,Brazil,Transport,213,"1,445",180
2020,Brazil,Industry,213,"1,445",120
2021,Brazil,Energy,213,"1,608",880
2021,Brazil,Transport,213,"1,608",190
2021,Brazil,Industry,213,"1,608",130
,,,,,
2021,Brazil,Industry,213,"1,608",130
2022,Brazil,Energy,215,"1,920",900
2022,Brazil,Transport,215,"1,920",200
2022,Brazil,Industry,215,"1,920",140
,,,,,
2022,Brazil,Industry,215,"1,920",140
2023,Brazil,Energy,216,"2,100",910
2023,Brazil,Transport,216,"2,100",210
2023,Brazil,Industry,216,"2,100",150
2024,Brazil,Energy,216,"2,100",920
2024,Brazil,Transport,216,"2,100",220
2024,Brazil,Industry,216,"2,100",160
2020,Pakistan,Energy,225,263,160
2020,Pakistan,Transport,225,263,30
2020,Pakistan,Industry,225,263,20
2021,Pakistan,Energy,229,283,170
2021,Pakistan,Transport,229,283,35
2021,Pakistan,Industry,229,283,25
2022,Pakistan,Energy,240,340,180
2022,Pakistan,Transport,240,340,40
2022,Pakistan,Industry,240,340,30
2023,Pakistan,Energy,243,340,190
2023,Pakistan,Transport,243,340,45
2023,Pakistan,Industry,243,340,35
2024,Pakistan,Energy,251,340,200
2024,Pakistan,Transport,251,340,50
2024,Pakistan,Industry,251,340,40
2020,Nigeria,Energy,213,432,110
2020,Nigeria,Transport,213,432,20
2020,Nigeria,Industry,213,432,10
2021,Nigeria,Energy,218,441,115
2021,Nigeria,Transport,218,441,25
2021,Nigeria,Industry,218,441,10
2022,Nigeria,Energy,223,440,120
2022,Nigeria,Transport,223,440,30
2022,Nigeria,Industry,223,440,10
2023,Nigeria,Energy,227,440,125
2023,Nigeria,Transport,227,440,35
2023,Nigeria,Industry,227,440,10
2024,Nigeria,Energy,233,440,130
2024,Nigeria,Transport,233,440,40
2024,Nigeria,Industry,233,440,10
2020,Bangladesh,Energy,165,329,150
2020,Bangladesh,Transport,165,329,30
2020,Bangladesh,Industry,165,329,20
2021,Bangladesh,Energy,169,416,160
2021,Bangladesh,Transport,169,416,35
2021,Bangladesh,Industry,169,416,25
2022,Bangladesh,Energy,171,460,170
2022,Bangladesh,Transport,171,460,40
2022,Bangladesh,Industry,171,460,30
2023,Bangladesh,Energy,173,460,180
2023,Bangladesh,Transport,173,460,45
2023,Bangladesh,Industry,173,460,35
2024,Bangladesh,Energy,174,460,190
2024,Bangladesh,Transport,174,460,50
2024,Bangladesh,Industry,174,460,40
2020,Russia,Energy,146,"1,483","1,600"
2020,Russia,Transport,146,"1,483",250
2020,Russia,Industry,146,"1,483",200
2021,Russia,Energy,143,"1,775","1,700"
2021,Russia,Transport,143,"1,775",270
2021,Russia,Industry,143,"1,775",220
2022,Russia,Energy,144,"2,240","1,800"
2022,Russia,Transport,144,"2,240",290
2022,Russia,Industry,144,"2,240",240
